subset,SMILES,lambda,t12,logt12,solvent
4,C1CCN(C1)c2ccccc2N=Nc3cccn3C,361,298.8,2.475380593,dimethyl sulfoxide
4,C1CCCN1c2c(c(ccc2)F)N=Nc3cccn3C,362,3348,3.524785449,dimethyl sulfoxide
4,c1(Cl)cc(cc(Cl)c1N=Nc2c(Cl)cccc2Cl)[N+](=O)[O-],310,3960,3.597695186,dimethyl sulfoxide
5,c1(ccc(c(c1)OC)N=Nc2c(cc(cc2)NC(=O)C)OC)NC(=O)C,338,6838.548096,3.834963906,dimethyl sulfoxide
4,C1CN(CCC1)c2ccccc2N=Nc3cccn3C,377,9648,3.984437295,dimethyl sulfoxide
4,C1CCN(C1)c2ccccc2N=Nc3c(C)onc3C,315,24840,4.395151592,dimethyl sulfoxide
4,C1CCN(C1)c2c(N=Nc3c(-c4ccccc4)n(nc3-c5ccccc5)C)cccc2,326,27360,4.437116093,dimethyl sulfoxide
4,C1CCN(C1)c2c(cccc2)N=Nc3c(C)n(nc3C)C,322,29880,4.475380593,dimethyl sulfoxide
4,c1ccccc1-c2noc(-c3ccccc3)c2N=Nc4c(N5CCCC5)cccc4,332,33840,4.529430354,dimethyl sulfoxide
4,C1CCCN1c2cccc(c2N=Nc3c(nn(C)c3C)C)F,312,42840,4.631849462,dimethyl sulfoxide
4,C1CN(CCC1)c2c(c(ccc2)F)N=Nc3cccn3C,365,52560,4.720655357,dimethyl sulfoxide
4,C1CN(CCC1)c2c(N=Nc3c(C)onc3C)cccc2,316,57960,4.763128377,dimethyl sulfoxide
4,Clc1cc(cc(Cl)c1N=Nc2c(Cl)cccc2Cl)N(C)C,400,60480,4.781611782,dimethyl sulfoxide
4,C1CN(CCO1)c2c(N=Nc3c(C)onc3C)cccc2,319,103680,5.015694989,dimethyl sulfoxide
4,C1CN(CCO1)c2ccccc2N=Nc3c(C)n(nc3C)C,328,120960,5.082641778,dimethyl sulfoxide
4,FC(F)(F)c1cc(Cl)c(c(Cl)c1)N=Nc2c(Cl)cccc2Cl,290,380160,5.579966419,dimethyl sulfoxide
4,C1CN(CCC1)c2c(cccc2)N=Nc3c(C)n(nc3C)C,329,432000,5.635483747,dimethyl sulfoxide
4,c1(Cl)cccc(Cl)c1N=Nc2c(Cl)cc(cc2Cl)SC,350,639360,5.805745462,dimethyl sulfoxide
4,c1(Cl)cc(cc(Cl)c1N=Nc2c(Cl)cccc2Cl)C,302,1080000,6.033423755,dimethyl sulfoxide
4,c1c(OC)c(c(cc1NC(=O)C)OC)N=Nc2c(cc(cc2OC)NC(=O)C)OC,338,1209600,6.082641778,dimethyl sulfoxide
4,c1(Cl)cccc(Cl)c1N=Nc2c(Cl)cc(cc2Cl)OC,330,1235520,6.09184978,dimethyl sulfoxide
4,Clc1cc(cc(Cl)c1N=Nc2c(Cl)cccc2Cl)OC(=O)C,295,1261440,6.100866598,dimethyl sulfoxide
5,c1(F)cccc(F)c1N=Nc2cn(nc2)C,316,1443750000,9.159491997,dimethyl sulfoxide
