logt12,N=Nc:c,Oc:c:c,c:c,c:c:cNC,c:c:c,c:cN=Nc,Nc:c:c:c,cOC,CNCCC,CC,Nc,CCC,c:cNCC,Nc:c:c,Nc:cNC,Nc:c,c:c:c:c:c,c:cNC,c:c:c:c,CCCC,cN=Nc,Oc:c,N=N,CCNCC,N=Nc,N=Nc:c:c,cNCC,c:cOC,cNC,c:c:cOC,Nc:cN,NCC,NCCC,OC,NCCCC,N=Nc:cN,Oc:c:c:c,CCCCC,Nc:c:cO,n:c:c:s,N=Nc:s:c,N=Nc:s,n:cN,n:c:s:c,c:n:c:c,n:c:c,N=Nc:n:c,c:n:c,s:c:n:c,n:c:s,s:c,n:c:s:c:c,s:c:c,c:s:c,s:c:c:n:c,Nc:n:c:c,Nc:n:c,c:s:c:c,n:cN=Nc,n:cN=N,s:cN=Nc,c:n:c:s:c,Nc:s:c,n:c,n:c:c:s:c,Nc:s,Nc:s:c:c,s:c:n:c:c,c:c:cCF,cC,FCF,cCF,Nc:cC,c:cCF,[nH]:c,[nH]:n:c:c,CF,c:[nH]:n:c,n:cC,c:cC,[nH]:n,c:c:cC,Nc:cCF,[nH]:n:c:cN,n:[nH]:cC,N=Nc:cC,c:n:[nH]:c:c,[nH]:n:c:c:c,[nH]:c:c:cC,[nH]:c:c:c,c:c:c:cC,Cc:c:cC,[nH]:c:c,[nH]:n:c,n:c:cN=N,c:[nH]:n:cC,n:c:cN,[nH]:c:c:c:n,NC=O,n:c:c:c:[nH],[nH]:cC,n:[nH]:c,O=CNc,n:[nH],[nH]:c:cN=N,n:[nH]:c:cN,Nc:c:cN,n:[nH]:c:c:c,O=CNc:c,[nH]:n:cC,n:c:c:cC,c:n:[nH]:c,O=C,c:n:[nH]:cC,CNc,O=CC,cNCCC,Oc,OCc,O=Cc:c:c,OCc:c,OCc:c:c,c:[nH]:n:c:c,O=Cc:c,O=CO,O=Cc,[nH]:c:cN,Nc:c:cC,N=Nc:cBr,Nc:cBr,Brc:c:c,n:[nH]:c:c,Brc:c,Brc,Brc:c:c:c,c:cCl,c:c:cCl,N=Nc:cCl,c:c:c:cCl,Nc:cCl,cCl,n:c:c:c,cF,c:c:cF,c:cF,N=Nc:cF,CNC,c:c:c:cF,Oc:c:cF,Nc:cF,c:c:s:c:c,N#Cc:c:c,N#Cc:c,s:c:c:c:c,c:s:c:c:c,Nc:s:cO,s:cOC,c:s:cOC,Oc:s:c:c,s:c:c:c,N#Cc,Oc:s,N#C,Oc:s:c,Nc:c:cBr,n:c:c:c:c,Cn:c:cC,Cn:cC,c:c:n:cC,c:c:nC,Cc:n:cC,c:n:c:cC,Nc:c:nC,Nc:c:n:c,c:n:c:c:c,c:n:cC,c:nC,c:c:n:c:c,c:c:c:nC,n:c:cC,n:c:c:cN,Cc:cC,c:s:cC,c:c:s:cC,s:cC,N#Cc:s:c,N#Cc:s,Nc:s:cC,Nc:c:cCl,N=Nc:nC,Nc:nC,Ic,Ic:c,Nc:cI,Ic:c:c:c,N=Nc:cI,Ic:c:c,Nc:c:cF,Fc:cF,Fc:c:cF,O=COCC,cCOCC,COCc,c:cCOC,COC,O=COC,Cc:c:cF,COCC,n:c:c:n,n:c:c:nC,n:c:n:c,n:c:n,n:c:n:c:c,n:c:c:n:c,n:c:nC,c:n:c:nC,c:n:c:n:c,c:c:cCC,NCCc,cCCc,cCC,c:cCCc,Nc:cCC,NCCc:c,c:cCC,CCOCc,OCC,NCc:c:c,NC,NCc,N=[N+],[N+]=NCc:c,[N+]=[N-],NCc:c,Cc,cCN=[N+]=[N-],CN=[N+]=[N-],N=[N+]=[N-],[N+]=NC,[N+]=NCc,n:n,n:n:cN=N,c:n:n:c:c,c:c:n:nC,n:n:c:cC,n:n:cN,n:n:c:c,n:nC,Nc:n:n:c,n:n:c,n:c:c:c:n,c:n:n:c,n:n:c:c:c,c:n:nC,C=C,C=Cc,c:cC=C,c:c:cC=C,CCc,[N+]=NCC,[N+]=NCCc,CCN=[N+]=[N-],CCOCC,COCCc,OCCc,OCCc:c,c:n:n:cC,n:n:c:cN,n:n:cC,Cn:n:cC,Clc:c:cCl,n:c:n:cN,nC,Nc:n:nC,n:n:n:cN,n:n:n:c:c,n:n:n:c,n:n:c:c:n,n:n:n,c:n:n:n:c,c:n:n:nC,n:n:nC,n:n:n:c:n,n:n:c:n:n,n:n:c:n,n:n:n:n:c,n:c:n:nC,n:n:n:n,OCCC,Sc:c:c:c,cSCC,SCCOC,OCCO,OCSc,O=CCOc,OCCCO,cOCC,OCCCC,COCCC,OCCCS,OCCOC,Sc:c,OCCSc,N=Nc:cO,SCOCC,O=CCO,c:cSCC,c:cSC,OCSc:c,Nc:cO,SCC,OCS,c:c:cSC,SC,Nc:cOC,COCSc,cSCCC,c:cOCC,SCOC,Sc:c:c,SCCC,SCCCC,OCCS,CSc,Oc:c:cO
0.087781418,4,4,12,8,12,4,8,2,8,7,8,5,8,8,4,8,12,8,12,3,1,4,1,2,2,4,8,4,6,4,2,4,4,4,4,2,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.255272505,2,0,7,4,6,2,4,0,0,0,5,0,0,4,0,4,6,4,6,0,1,0,1,0,2,2,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.324859391,4,0,8,0,7,4,2,0,0,0,2,0,0,2,0,4,6,0,6,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,3,3,3,6,2,2,3,1,2,4,1,4,3,2,2,3,2,2,2,2,2,1,2,2,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.105134335,4,0,8,2,7,4,4,0,0,0,4,0,2,4,0,6,6,2,6,0,1,0,1,0,2,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0,0,0,2,0,2,0,0,0,2,2,0,0,2,0,1,0,0,0,0,2,0,1,1,2,2,1,1,2,2,1,2,2,2,2,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.181614952,4,4,12,4,12,4,6,2,0,3,5,2,4,6,2,6,12,4,12,1,1,4,1,1,2,4,4,4,3,4,1,2,2,0,2,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.196294645,4,0,8,0,7,4,2,0,0,0,2,0,0,2,0,4,6,0,6,0,1,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0,0,0,4,0,4,0,2,2,2,0,0,2,2,2,1,0,2,0,0,2,0,0,1,2,0,0,1,2,0,0,2,0,0,0,1,1,2,0,0,0,0,1,2,2,2,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.357859651,4,0,8,0,7,4,2,0,0,0,2,0,0,2,0,4,6,0,6,0,1,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,2,2,0,0,0,4,0,4,0,0,0,2,2,2,0,2,2,1,0,2,0,0,0,0,0,1,2,0,0,1,2,2,0,0,0,2,2,1,1,2,0,0,0,0,1,2,2,2,0,2,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.653212514,2,0,7,0,6,2,4,0,0,0,3,0,0,4,0,4,6,0,6,0,1,0,1,0,2,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.208275942,4,0,8,0,7,4,2,0,0,0,2,0,0,2,0,4,6,0,6,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,0,0,1,0,2,1,2,0,0,2,2,0,2,2,2,0,1,2,2,2,2,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,1,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.235428188,4,0,8,0,7,4,2,0,0,0,2,0,0,2,0,4,6,0,6,0,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,2,0,0,2,0,1,0,2,1,2,0,2,2,2,2,2,0,2,0,1,2,0,0,2,0,1,0,0,2,2,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
