subset,SMILES,lambda,t12,logt12,solvent
4,C1CCN(C1)c2cc(ccc2N=Nc3ccc(cc3N4CCCCC4)OC)OC,488,1.224,0.087781418,acetonitrile
4,c1cc(ccc1N=Nc2nccs2)N(C)C,484,1.8,0.255272505,acetonitrile
5,FC(F)(F)c1c(cccc1)N=Nc2c([nH]nc2C)C,335,2.112804878,0.324859391,acetonitrile
5,N(C(=O)C)c1cc(ccc1)N=Nc2c(C)n[nH]c2C,329,12.73897059,1.105134335,acetonitrile
4,c1cc(ccc1N=Nc2c(N3CCCC3)cc(OC)cc2)OC,340,15.192,1.181614952,acetonitrile
5,c1cc(ccc1N=Nc2c(n[nH]c2C)C)C(=O)O,342,15.71428571,1.196294645,acetonitrile
5,O=C(O)c1cccc(c1)N=Nc2c(C)n[nH]c2C,332,22.79605263,1.357859651,acetonitrile
4,c1cnc(N=Nc2ccccc2N)s1,482,45,1.653212514,acetonitrile
5,c1(ccccc1N=Nc2c(C)[nH]nc2C)Br,340,161.5384615,2.208275942,acetonitrile
5,c1c(Cl)c(ccc1)N=Nc2c(C)[nH]nc2C,339,171.9602978,2.235428188,acetonitrile
5,c1(c(c(C)[nH]n1)N=Nc2cccc(c2)O)C,330,240.625,2.381340747,acetonitrile
4,C1CCN(C1)c2c(N=Nc3ccc(OC)cc3F)ccc(OC)c2,344,255.6,2.407560849,acetonitrile
5,c1(c(c(C)[nH]n1)N=Nc2cc(C)ccc2)C,331,348.241206,2.541880158,acetonitrile
5,c1cc(ccc1F)N=Nc2c(n[nH]c2C)C,330,427.7777778,2.63121822,acetonitrile
5,c1cc(ccc1C)N=Nc2c(n[nH]c2C)C,335,477.9310345,2.679365232,acetonitrile
5,c1cc(ccc1NC(C)=O)N=Nc2c(n[nH]c2C)C,350,481.25,2.682370743,acetonitrile
4,c1cc(ccc1C#N)N=Nc2ccc(s2)OC,414,576,2.760422483,acetonitrile
4,c1(c(c(C)[nH]n1)N=Nc2cccc(Br)c2)C,335,720,2.857332496,acetonitrile
4,c1cc(ccc1)N=Nc2c(C)n(C)c(c2C)C,345,900,2.954242509,acetonitrile
4,c1cc(ccc1N=Nc2nccs2)OC,384,900,2.954242509,acetonitrile
4,FC(F)(F)c1ccc(cc1)N=Nc2c(n[nH]c2C)C,334,1404,3.147367108,acetonitrile
4,c1cc(ccc1OC)N=Nc2sccc2,375,1778.4,3.25002945,acetonitrile
4,c1ccccc1N=Nc2sc(cc2)C#N,364,2534.4,3.40387516,acetonitrile
4,c1c(cccc1Cl)N=Nc2c(C)n[nH]c2C,336,3636,3.560623875,acetonitrile
4,c1cc(ccc1N=Nc2nccs2)C#N,371,6120,3.786751422,acetonitrile
4,c1cc(ccc1)N=Nc2nccs2,364,10080,4.003460532,acetonitrile
5,c1cc(ccc1)N=Nc2n(C)ccc2,385,10661.53846,4.027819878,acetonitrile
4,c1cc(ccc1C#N)N=Nc2sc(C)cc2,386,12708,4.104077206,acetonitrile
4,c1cnc(N=Nc2c(cccc2)I)s1,372,12960,4.112605002,acetonitrile
